,playDate,durationMin,gameRefId,number_players,jul vs paula,jul and paula,coop,winner,scores difference,id,bggName,bggYear,designers
81,2020-08-14 17:22:07,30,41,5,False,True,1,,,41,Just One,2018,"Ludovic Roudy, Bruno Sautter"
82,2020-08-14 17:21:37,20,88,4,False,False,1,Jonas ,,88,Spicy,2020,Győri Zoltán Gábor
83,2020-08-14 17:21:09,17,88,4,False,False,1,Jonas ,,88,Spicy,2020,Győri Zoltán Gábor
84,2020-08-12 22:06:17,120,92,2,True,True,0,Paula,34.0,92,Great Western Trail,2016,Alexander Pfister
85,2020-08-09 22:00:03,120,92,2,True,True,0,Paula,10.0,92,Great Western Trail,2016,Alexander Pfister
86,2020-08-02 11:55:39,15,88,3,False,True,1,Paula,,88,Spicy,2020,Győri Zoltán Gábor
87,2020-08-02 11:32:13,15,88,3,False,True,1,Paula,,88,Spicy,2020,Győri Zoltán Gábor
88,2020-08-02 11:16:16,20,88,3,False,True,1,Jul,,88,Spicy,2020,Győri Zoltán Gábor
89,2020-07-31 14:16:14,15,83,2,True,True,1,Jul,,83,The Game: Face to Face,2017,"Steffen Benndorf, Reinhard Staupe"
90,2020-07-26 12:05:04,45,90,1,False,False,1,Jul,,90,Unlock!: Heroic Adventures,2018,"Cyril Demaegd, Dave Neale"
91,2020-07-24 23:09:01,140,87,2,True,True,0,Paula,39.0,87,Tapestry,2019,Jamey Stegmaier
93,2020-07-18 23:12:47,150,33,5,False,True,0,Julia,18.0,33,Terraforming Mars,2016,Jacob Fryxelius
94,2020-07-12 16:47:55,30,89,4,False,False,1,Paula,,89,Anno Domini: Erfindungen,1999,Urs Hostettler
95,2020-07-11 21:36:07,20,86,3,False,False,0,Paula,,86,NMBR 9,2017,Peter Wichmann
96,2020-07-11 21:25:06,20,86,3,False,False,0,Julia,,86,NMBR 9,2017,Peter Wichmann
97,2020-07-11 20:09:13,14,88,4,False,True,0,Paula,24.0,88,Spicy,2020,Győri Zoltán Gábor
98,2020-07-11 19:57:44,19,88,4,False,True,0,Paula,50.0,88,Spicy,2020,Győri Zoltán Gábor
99,2020-07-11 19:46:56,10,86,2,False,False,0,Renate,,86,NMBR 9,2017,Peter Wichmann
100,2020-07-11 19:31:03,16,88,4,False,True,0,Paula,28.0,88,Spicy,2020,Győri Zoltán Gábor
101,2020-07-10 23:34:34,150,87,3,False,True,0,Jul,64.0,87,Tapestry,2019,Jamey Stegmaier
103,2020-07-10 17:00:12,30,86,2,False,False,0,Jul,,86,NMBR 9,2017,Peter Wichmann
104,2020-07-10 16:50:08,20,86,2,False,False,0,Jul,,86,NMBR 9,2017,Peter Wichmann
105,2020-07-08 20:40:23,18,86,2,False,False,0,Paula,,86,NMBR 9,2017,Peter Wichmann
106,2020-07-08 20:39:53,15,86,2,False,False,0,Marta,,86,NMBR 9,2017,Peter Wichmann
107,2020-07-08 17:12:58,120,85,2,False,False,1,,,85,Exit: The Game – The Forbidden Castle,2017,"Inka Brand, Markus Brand"
108,2020-07-05 18:40:42,70,84,2,False,False,1,,,84,Unlock!: Escape Adventures,2017,"Alice Carroll, Thomas Cauët, Cyril Demaegd"
109,2020-07-04 21:19:06,25,78,3,False,True,0,Paula,22.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
110,2020-07-03 10:00:00,20,83,2,True,True,1,Jul,,83,The Game: Face to Face,2017,"Steffen Benndorf, Reinhard Staupe"
111,2020-07-03 10:00:00,24,83,2,True,True,1,Jul,,83,The Game: Face to Face,2017,"Steffen Benndorf, Reinhard Staupe"
112,2020-07-03 10:00:00,15,83,2,True,True,1,Paula,,83,The Game: Face to Face,2017,"Steffen Benndorf, Reinhard Staupe"
113,2020-06-27 22:47:58,148,33,4,False,True,0,Jul,12.0,33,Terraforming Mars,2016,Jacob Fryxelius
114,2020-06-20 22:20:35,50,78,3,False,True,0,Jul,41.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
115,2020-06-16 16:38:57,150,7,3,False,True,0,Nicola,380.0,7,Wizard,1984,Ken Fisher
118,2020-06-13 10:10:21,90,71,4,False,True,0,Marta,80.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
119,2020-06-12 10:00:00,120,71,4,False,True,0,Paula,7.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
120,2020-06-11 15:54:02,27,78,2,True,True,0,Jul,7.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
121,2020-06-10 21:28:48,110,82,1,False,False,1,Jul,,82,Exit: The Game – The Sinister Mansion,2018,"Inka Brand, Markus Brand, Ralph Querfurth"
122,2020-06-10 21:23:27,90,71,4,False,True,0,,3.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
123,2020-06-08 21:39:00,20,80,4,False,False,1,,,80,Kneipenquiz: Das Original,2016,"Heinrich Glumpler, Darren Grundorf, Marco Teubner, Tom Zimmermann"
124,2020-06-07 22:00:46,120,71,4,False,True,0,,14.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
125,2020-06-07 15:03:46,50,79,2,True,True,0,Jul,8.0,79,The Voyages of Marco Polo,2015,"Simone Luciani, Daniele Tascini"
126,2020-06-06 17:12:54,90,67,3,False,True,1,,,67,Unlock!: Exotic Adventures,2018,Cyril Demaegd
127,2020-06-06 13:06:08,25,75,2,True,True,0,Jul,3.0,75,Mandala,2019,"Trevor Benjamin, Brett J. Gilbert"
130,2020-06-05 22:26:42,90,71,4,False,True,0,Jul,8.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
131,2020-06-05 10:00:00,30,78,2,True,True,0,Paula,9.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
132,2020-06-03 16:44:37,20,81,2,True,True,0,Jul,6.0,81,Colour Brain,2017,
133,2020-06-03 16:44:15,25,81,2,True,True,0,Jul,10.0,81,Colour Brain,2017,
134,2020-06-02 10:00:00,150,71,4,False,True,0,Jul,5.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
135,2020-06-01 17:21:02,60,80,4,False,True,1,,,80,Kneipenquiz: Das Original,2016,"Heinrich Glumpler, Darren Grundorf, Marco Teubner, Tom Zimmermann"
136,2020-06-01 17:20:31,30,80,4,False,True,1,,,80,Kneipenquiz: Das Original,2016,"Heinrich Glumpler, Darren Grundorf, Marco Teubner, Tom Zimmermann"
137,2020-05-31 10:04:59,20,75,2,True,True,0,Paula,13.0,75,Mandala,2019,"Trevor Benjamin, Brett J. Gilbert"
140,2020-05-31 10:00:00,30,80,5,False,True,1,,,80,Kneipenquiz: Das Original,2016,"Heinrich Glumpler, Darren Grundorf, Marco Teubner, Tom Zimmermann"
141,2020-05-30 21:19:41,25,78,2,True,True,0,Jul,14.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
142,2020-05-30 20:43:43,20,75,2,True,True,0,Jul,25.0,75,Mandala,2019,"Trevor Benjamin, Brett J. Gilbert"
145,2020-05-30 20:26:21,20,75,2,True,True,0,Jul,8.0,75,Mandala,2019,"Trevor Benjamin, Brett J. Gilbert"
148,2020-05-28 22:40:19,30,78,2,True,True,0,Paula,1.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
149,2020-05-28 21:59:31,120,79,2,True,True,0,Jul,1.0,79,The Voyages of Marco Polo,2015,"Simone Luciani, Daniele Tascini"
150,2020-05-27 22:03:49,150,71,4,False,True,0,Renate,8.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
151,2020-05-27 17:43:04,30,78,2,True,True,0,Paula,5.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
152,2020-05-27 13:14:11,30,78,2,True,True,0,Jul,9.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
153,2020-05-26 21:15:24,25,78,2,True,True,0,Paula,17.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
154,2020-05-26 20:34:15,25,78,2,True,True,0,Paula,14.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
155,2020-05-26 17:53:21,25,78,2,True,True,0,Jul,4.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
156,2020-05-26 17:25:00,30,78,2,True,True,0,Paula,7.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
157,2020-05-26 17:24:35,25,78,2,True,True,0,Paula,3.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
158,2020-05-23 16:22:22,60,73,1,False,False,1,Jul,,73,Adventure Games: The Volcanic Island,2019,"Matthew Dunstan, Chihiro Mori, Phil Walker-Harding"
159,2020-05-23 13:52:25,30,78,2,True,True,0,Paula,3.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
160,2020-05-23 11:04:20,0,78,2,True,True,0,Paula,8.0,78,Cartographers: A Roll Player Tale,2019,Jordy Adan
161,2020-05-21 22:10:59,150,71,4,False,True,0,Renate,17.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
162,2020-05-20 21:34:41,0,75,2,True,True,0,Paula,14.0,75,Mandala,2019,"Trevor Benjamin, Brett J. Gilbert"
165,2020-05-20 21:10:58,20,77,2,True,True,0,Jul,3.0,77,Trails of Tucana,2019,"Eilif Svensson, Kristian Amundsen Østby"
166,2020-05-20 21:10:02,20,75,2,True,True,0,Paula,5.0,75,Mandala,2019,"Trevor Benjamin, Brett J. Gilbert"
169,2020-05-19 22:49:09,120,76,4,False,True,1,,,76,Codenames,2015,Vlaada Chvátil
170,2020-05-19 17:57:40,90,73,1,False,False,1,Jul,,73,Adventure Games: The Volcanic Island,2019,"Matthew Dunstan, Chihiro Mori, Phil Walker-Harding"
171,2020-05-19 14:40:16,15,75,2,True,True,0,Paula,10.0,75,Mandala,2019,"Trevor Benjamin, Brett J. Gilbert"
174,2020-05-17 20:39:55,47,74,4,False,False,1,,,74,,0,
175,2020-05-16 22:45:18,150,33,4,False,True,0,Julia,4.0,33,Terraforming Mars,2016,Jacob Fryxelius
176,2020-05-15 21:05:30,90,71,4,False,True,0,Paula,12.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
177,2020-05-15 16:45:50,90,73,1,False,False,1,Jul,,73,Adventure Games: The Volcanic Island,2019,"Matthew Dunstan, Chihiro Mori, Phil Walker-Harding"
178,2020-05-13 15:49:25,60,73,1,False,False,1,Jul,,73,Adventure Games: The Volcanic Island,2019,"Matthew Dunstan, Chihiro Mori, Phil Walker-Harding"
179,2020-05-12 13:20:03,60,72,1,False,False,1,Jul,,72,Deckscape: Test Time,2017,"Martino Chiacchiera, Silvano Sorrentino"
180,2020-05-12 10:00:00,45,3,2,True,True,0,Jul,8.0,3,Heaven & Ale,2017,"Michael Kiesling, Andreas Schmidt"
181,2020-05-10 21:40:46,135,71,4,False,True,0,Marta,11.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
182,2020-05-09 22:13:38,25,68,2,True,True,0,Paula,29.0,68,Azul: Summer Pavilion,2019,Michael Kiesling
183,2020-05-08 21:32:40,150,71,4,False,True,0,Jul,11.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
184,2020-05-06 16:50:43,30,68,2,True,True,0,Jul,4.0,68,Azul: Summer Pavilion,2019,Michael Kiesling
185,2020-05-05 21:36:38,90,71,4,False,True,0,Renate,11.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
186,2020-05-03 22:59:23,150,71,4,False,True,0,Paula,3.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
187,2020-05-02 15:15:14,40,53,2,True,True,0,Jul,7.0,53,Wingspan,2019,Elizabeth Hargrave
188,2020-05-01 23:01:39,180,71,4,False,True,0,Marta,7.0,71,The King's Dilemma,2019,"Hjalmar Hach, Lorenzo Silva"
189,2020-04-30 20:22:45,150,33,2,True,True,0,Jul,27.0,33,Terraforming Mars,2016,Jacob Fryxelius
190,2020-04-29 20:43:00,30,68,2,True,True,0,Jul,17.0,68,Azul: Summer Pavilion,2019,Michael Kiesling
191,2020-04-29 14:11:14,150,33,2,True,True,0,Paula,2.0,33,Terraforming Mars,2016,Jacob Fryxelius
192,2020-04-28 19:13:02,60,70,1,False,False,1,Jul,,70,Exit: The Game – The Stormy Flight,2019,"Inka Brand, Markus Brand"
193,2020-04-27 16:17:32,43,68,2,True,True,0,Jul,15.0,68,Azul: Summer Pavilion,2019,Michael Kiesling
194,2020-04-27 14:21:12,150,33,2,True,True,0,Paula,22.0,33,Terraforming Mars,2016,Jacob Fryxelius
195,2020-04-26 17:42:12,35,69,2,True,True,0,Paula,6.0,69,7 Wonders Duel,2015,"Antoine Bauza, Bruno Cathala"
